"","Text_ID","Sentence_Number","text","Word_idx"
"220",38,38,"the",6
"221",38,38,"table",7
"222",39,39,"i'll",1
"223",39,39,"give",2
"224",39,39,"him",3
"225",39,39,"more",4
"226",39,39,"than",5
"227",39,39,"a",6
"228",39,39,"slap",7
"229",40,40,"andrew",1
"230",40,40,"nodded",2
"231",40,40,"and",3
"232",40,40,"stood",4
"233",40,40,"against",5
"234",40,40,"the",6
"235",40,40,"counter",7
"236",41,41,"looks",1
"237",41,41,"like",2
"238",41,41,"a",3
"239",41,41,"walk",4
"240",41,41,"did",5
"241",41,41,"the",6
"242",41,41,"trick",7
"243",42,42,"sam",1
"244",42,42,"felt",2
"245",42,42,"proud",3
"246",42,42,"when",4
"247",42,42,"he",5
"248",42,42,"went",6
"249",42,42,"home",7
"250",43,43,"scott",1
"251",43,43,"got",2
"252",43,43,"up",3
"253",43,43,"and",4
"254",43,43,"washed",5
"255",43,43,"his",6
"256",43,43,"plate",7
"257",44,44,"simon",1
"258",44,44,"nodded",2
"259",44,44,"and",3
"260",44,44,"walked",4
"261",44,44,"into",5
"262",44,44,"the",6
"263",44,44,"room",7
"264",45,45,"steve",1
"265",45,45,"sat",2
"266",45,45,"down",3
"267",45,45,"to",4
"268",45,45,"eat",5
"269",45,45,"his",6
"270",45,45,"lunch",7
"271",46,46,"ted",1
"272",46,46,"smiled",2
"273",46,46,"and",3
"274",46,46,"bit",4
"275",46,46,"his",5
"276",46,46,"bottom",6
"277",46,46,"lip",7
"278",47,47,"thomas",1
"279",47,47,"stepped",2
"280",47,47,"back",3
"281",47,47,"and",4
"282",47,47,"shook",5
"283",47,47,"his",6
"284",47,47,"head",7
"285",48,48,"tom",1
"286",48,48,"stood",2
"287",48,48,"up",3
"288",48,48,"and",4
"289",48,48,"wiped",5
"290",48,48,"his",6
"291",48,48,"jeans",7
"292",49,49,"tony",1
"293",49,49,"stopped",2
"294",49,49,"off",3
"295",49,49,"at",4
"296",49,49,"his",5
"297",49,49,"first",6
"298",49,49,"delivery",7
"299",50,50,"normally",1
"300",50,50,"they",2
"301",50,50,"want",3
"302",50,50,"to",4
"303",50,50,"cut",5
"304",50,50,"things",6
"305",50,50,"up",7
"306",51,51,"powerful",1
"307",51,51,"in",2
"308",51,51,"the",3
"309",51,51,"wrong",4
"310",51,51,"hands",5
"311",51,51,"is",6
"312",51,51,"that",7
"313",52,52,"she",1
"314",52,52,"had",2
"315",52,52,"refused",3
"316",52,52,"to",4
"317",52,52,"leave",5
"318",52,52,"her",6
"319",52,52,"home",7
"320",53,53,"she",1
"321",53,53,"hid",2
"322",53,53,"the",3
"323",53,53,"boxes",4
"324",53,53,"and",5
"325",53,53,"matches",6
"326",53,53,"well",7
"327",54,54,"the",1
"328",54,54,"bored",2
"329",54,54,"looking",3
"330",54,54,"soldier",4
"331",54,54,"continued",5
"332",54,54,"looking",6
"333",54,54,"bored",7
"334",55,55,"the",1
"335",55,55,"dead",2
"336",55,55,"must",3
"337",55,55,"not",4
"338",55,55,"kill",5
"339",55,55,"the",6
"340",55,55,"living",7
"341",56,56,"the",1
"342",56,56,"prison",2
"343",56,56,"guard",3
"344",56,56,"walked",4
"345",56,56,"along",5
"346",56,56,"the",6
"347",56,56,"row",7
"348",57,57,"the",1
"349",57,57,"van",2
"350",57,57,"is",3
"351",57,57,"your",4
"352",57,57,"lead",5
"353",57,57,"follow",6
"354",57,57,"that",7
"355",58,58,"you're",1
"356",58,58,"getting",2
"357",58,58,"up",3
"358",58,58,"early",4
"359",58,58,"in",5
"360",58,58,"the",6
"361",58,58,"morning",7
"362",59,59,"after",1
"363",59,59,"lunch",2
"364",59,59,"he",3
"365",59,59,"was",4
"366",59,59,"told",5
"367",59,59,"he",6
"368",59,59,"had",7
"369",59,59,"visitors",8
"370",60,60,"albert",1
"371",60,60,"spoke",2
"372",60,60,"before",3
"373",60,60,"barbara",4
"374",60,60,"had",5
"375",60,60,"a",6
"376",60,60,"chance",7
"377",60,60,"to",8
"378",61,61,"come",1
"379",61,61,"within",2
"380",61,61,"the",3
"381",61,61,"walls",4
"382",61,61,"to",5
"383",61,61,"escape",6
"384",61,61,"the",7
"385",61,61,"enemy",8
"386",62,62,"follow",1
"387",62,62,"me",2
"388",62,62,"closely",3
"389",62,62,"and",4
"390",62,62,"watch",5
"391",62,62,"for",6
"392",62,62,"their",7
"393",62,62,"leader",8
"394",63,63,"he",1
"395",63,63,"called",2
"396",63,63,"out",3
"397",63,63,"but",4
"398",63,63,"she",5
"399",63,63,"did",6
"400",63,63,"not",7
"401",63,63,"move",8
"402",64,64,"he",1
"403",64,64,"sat",2
"404",64,64,"down",3
"405",64,64,"and",4
"406",64,64,"began",5
"407",64,64,"to",6
"408",64,64,"eat",7
"409",64,64,"breakfast",8
"410",65,65,"he",1
"411",65,65,"slammed",2
"412",65,65,"the",3
"413",65,65,"knife",4
"414",65,65,"down",5
"415",65,65,"on",6
"416",65,65,"the",7
"417",65,65,"lamb",8
"418",66,66,"he",1
"419",66,66,"staggered",2
"420",66,66,"into",3
"421",66,66,"the",4
"422",66,66,"chair",5
"423",66,66,"at",6
"424",66,66,"his",7
"425",66,66,"desk",8
"426",67,67,"i",1
"427",67,67,"do",2
"428",67,67,"not",3
"429",67,67,"spare",4
"430",67,67,"the",5
"431",67,67,"birds",6
"432",67,67,"a",7
"433",67,67,"killing",8
"434",68,68,"i",1
"435",68,68,"think",2
"436",68,68,"our",3
"437",68,68,"friend's",4
"438",68,68,"demands",5
"439",68,68,"are",6
"440",68,68,"well",7
"441",68,68,"justified",8
"442",69,69,"let",1
"443",69,69,"us",2
"444",69,69,"leave",3
"445",69,69,"these",4
"446",69,69,"poor",5
"447",69,69,"people",6
"448",69,69,"in",7
"449",69,69,"peace",8
"450",70,70,"walter",1
"451",70,70,"closed",2
"452",70,70,"the",3
"453",70,70,"door",4
"454",70,70,"and",5
"455",70,70,"took",6
"456",70,70,"a",7
"457",70,70,"breath",8
"458",71,71,"william",1
"459",71,71,"sat",2
"460",71,71,"down",3
"461",71,71,"and",4
"462",71,71,"tucked",5
"463",71,71,"into",6
"464",71,71,"his",7
"465",71,71,"breakfast",8
"466",72,72,"alec",1
"467",72,72,"stood",2
"468",72,72,"against",3
"469",72,72,"the",4
"470",72,72,"wall",5
"471",72,72,"to",6
"472",72,72,"steady",7
"473",72,72,"himself",8
"474",73,73,"no-one",1
"475",73,73,"else",2
"476",73,73,"had",3
"477",73,73,"dared",4
"478",73,73,"step",5
"479",73,73,"within",6
"480",73,73,"the",7
"481",73,73,"ring",8
"482",74,74,"none",1
"483",74,74,"of",2
"484",74,74,"the",3
"485",74,74,"city",4
"486",74,74,"people",5
"487",74,74,"dress",6
"488",74,74,"like",7
"489",74,74,"that",8
"490",75,75,"she",1
"491",75,75,"saw",2
"492",75,75,"the",3
"493",75,75,"throwing",4
"494",75,75,"knife",5
"495",75,75,"in",6
"496",75,75,"his",7
"497",75,75,"hand",8
"498",76,76,"she",1
"499",76,76,"was",2
"500",76,76,"smiling",3
"501",76,76,"in",4
"502",76,76,"the",5
"503",76,76,"dark",6
"504",76,76,"teeth",7
"505",76,76,"flashing",8
"506",77,77,"shut",1
"507",77,77,"your",2
"508",77,77,"smart",3
"509",77,77,"foul",4
"510",77,77,"mouth",5
"511",77,77,"and",6
"512",77,77,"sit",7
"513",77,77,"down",8
"514",78,78,"tell",1
"515",78,78,"me",2
"516",78,78,"what",3
"517",78,78,"really",4
"518",78,78,"happened",5
"519",78,78,"to",6
"520",78,78,"the",7
"521",78,78,"truck",8
"522",79,79,"the",1
"523",79,79,"door",2
"524",79,79,"was",3
"525",79,79,"opened",4
"526",79,79,"and",5
"527",79,79,"alexander",6
"528",79,79,"walked",7
"529",79,79,"out",8
"530",80,80,"there",1
"531",80,80,"were",2
"532",80,80,"choked",3
"533",80,80,"screams",4
"534",80,80,"and",5
"535",80,80,"shouts",6
"536",80,80,"of",7
"537",80,80,"dismay",8
"538",81,81,"there",1
"539",81,81,"will",2
"540",81,81,"be",3
"541",81,81,"men",4
"542",81,81,"to",5
"543",81,81,"kill",6
"544",81,81,"either",7
"545",81,81,"way",8
"546",82,82,"they",1
"547",82,82,"were",2
"548",82,82,"definitely",3
"549",82,82,"holding",4
"550",82,82,"hands",5
"551",82,82,"underneath",6
"552",82,82,"the",7
"553",82,82,"table",8
"554",83,83,"claudia",1
"555",83,83,"still",2
"556",83,83,"teaches",3
"557",83,83,"and",4
"558",83,83,"still",5
"559",83,83,"claims",6
"560",83,83,"to",7
"561",83,83,"hate",8
"562",83,83,"it",9
"563",84,84,"burn",1
"564",84,84,"him",2
"565",84,84,"now",3
"566",84,84,"don't",4
"567",84,84,"wait",5
"568",84,84,"for",6
"569",84,84,"him",7
"570",84,84,"to",8
"571",84,84,"escape",9
"572",85,85,"don't",1
"573",85,85,"die",2
"574",85,85,"of",3
"575",85,85,"cold",4
"576",85,85,"before",5
"577",85,85,"you",6
"578",85,85,"die",7
"579",85,85,"in",8
"580",85,85,"battle",9
"581",86,86,"good",1
"582",86,86,"god",2
"583",86,86,"if",3
"584",86,86,"you",4
"585",86,86,"are",5
"586",86,86,"watching",6
"587",86,86,"give",7
"588",86,86,"me",8
"589",86,86,"strength",9
"590",87,87,"he",1
"591",87,87,"heaved",2
"592",87,87,"his",3
"593",87,87,"shoulders",4
"594",87,87,"and",5
"595",87,87,"swung",6
"596",87,87,"the",7
"597",87,87,"axe",8
"598",87,87,"again",9
"599",88,88,"he",1
"600",88,88,"is",2
"601",88,88,"after",3
"602",88,88,"glory",4
"603",88,88,"and",5
"604",88,88,"heads",6
"605",88,88,"for",7
"606",88,88,"his",8
"607",88,88,"hall",9
"608",89,89,"he",1
"609",89,89,"just",2
"610",89,89,"wished",3
"611",89,89,"he",4
"612",89,89,"could",5
"613",89,89,"talk",6
"614",89,89,"to",7
"615",89,89,"his",8
"616",89,89,"dad",9
"617",90,90,"he",1
"618",90,90,"lay",2
"619",90,90,"his",3
"620",90,90,"sword",4
"621",90,90,"aside",5
"622",90,90,"and",6
"623",90,90,"extended",7
"624",90,90,"his",8
"625",90,90,"hands",9
"626",91,91,"he",1
"627",91,91,"sighed",2
"628",91,91,"and",3
"629",91,91,"walked",4
"630",91,91,"back",5
"631",91,91,"to",6
"632",91,91,"the",7
"633",91,91,"wood",8
"634",91,91,"shop",9
"635",92,92,"he",1
"636",92,92,"smiled",2
"637",92,92,"when",3
"638",92,92,"she",4
"639",92,92,"let",5
"640",92,92,"out",6
"641",92,92,"a",7
"642",92,92,"big",8
"643",92,92,"yawn",9
"644",93,93,"he",1
"645",93,93,"was",2
"646",93,93,"leaning",3
"647",93,93,"against",4
"648",93,93,"his",5
"649",93,93,"truck",6
"650",93,93,"smoking",7
"651",93,93,"a",8
"652",93,93,"joint",9
"653",94,94,"i",1
"654",94,94,"was",2
"655",94,94,"thinking",3
"656",94,94,"of",4
"657",94,94,"getting",5
"658",94,94,"the",6
"659",94,94,"band",7
"660",94,94,"together",8
"661",94,94,"again",9
"662",95,95,"it",1
"663",95,95,"is",2
"664",95,95,"a",3
"665",95,95,"narrow",4
"666",95,95,"ship",5
"667",95,95,"much",6
"668",95,95,"like",7
"669",95,95,"our",8
"670",95,95,"own",9
"671",96,96,"arthur",1
"672",96,96,"placed",2
"673",96,96,"the",3
"674",96,96,"bars",4
"675",96,96,"of",5
"676",96,96,"chocolate",6
"677",96,96,"on",7
"678",96,96,"the",8
"679",96,96,"counter",9
"680",97,97,"john",1
"681",97,97,"gave",2
"682",97,97,"bernard",3
"683",97,97,"a",4
"684",97,97,"hard",5
"685",97,97,"slap",6
"686",97,97,"on",7
"687",97,97,"the",8
"688",97,97,"head",9
"689",98,98,"let's",1
"690",98,98,"get",2
"691",98,98,"out",3
"692",98,98,"and",4
"693",98,98,"i'll",5
"694",98,98,"buy",6
"695",98,98,"you",7
"696",98,98,"a",8
"697",98,98,"drink",9
"698",99,99,"let's",1
"699",99,99,"have",2
"700",99,99,"the",3
"701",99,99,"gates",4
"702",99,99,"closed",5
"703",99,99,"and",6
"704",99,99,"go",7
"705",99,99,"home",8
"706",99,99,"early",9
"707",100,100,"andrew",1
"708",100,100,"closed",2
"709",100,100,"the",3
"710",100,100,"office",4
"711",100,100,"door",5
"712",100,100,"on",6
"713",100,100,"the",7
"714",100,100,"way",8
"715",100,100,"out",9
"716",101,101,"charles",1
"717",101,101,"felt",2
"718",101,101,"sick",3
"719",101,101,"to",4
"720",101,101,"the",5
"721",101,101,"pit",6
"722",101,101,"of",7
"723",101,101,"his",8
"724",101,101,"stomach",9
"725",102,102,"christopher",1
"726",102,102,"groaned",2
"727",102,102,"and",3
"728",102,102,"lay",4
"729",102,102,"his",5
"730",102,102,"hands",6
"731",102,102,"across",7
"732",102,102,"his",8
"733",102,102,"stomach",9
"734",103,103,"dave",1
"735",103,103,"kicked",2
"736",103,103,"him",3
"737",103,103,"in",4
"738",103,103,"the",5
"739",103,103,"stomach",6
"740",103,103,"and",7
"741",103,103,"paul",8
"742",103,103,"groaned",9
"743",104,104,"dexter",1
"744",104,104,"opened",2
"745",104,104,"his",3
"746",104,104,"letter",4
"747",104,104,"and",5
"748",104,104,"found",6
"749",104,104,"a",7
"750",104,104,"photograph",8
"751",104,104,"inside",9
"752",105,105,"duncan",1
"753",105,105,"took",2
"754",105,105,"a",3
"755",105,105,"breath",4
"756",105,105,"and",5
"757",105,105,"wanted",6
"758",105,105,"to",7
"759",105,105,"be",8
"760",105,105,"sick",9
"761",106,106,"edward",1
"762",106,106,"washed",2
"763",106,106,"his",3
"764",106,106,"hands",4
"765",106,106,"and",5
"766",106,106,"flicked",6
"767",106,106,"water",7
"768",106,106,"at",8
"769",106,106,"bob",9
"770",107,107,"she",1
"771",107,107,"turned",2
"772",107,107,"and",3
"773",107,107,"saw",4
"774",107,107,"him",5
"775",107,107,"standing",6
"776",107,107,"in",7
"777",107,107,"her",8
"778",107,107,"path",9
"779",108,108,"they",1
"780",108,108,"turned",2
"781",108,108,"round",3
"782",108,108,"just",4
"783",108,108,"as",5
"784",108,108,"frankie",6
"785",108,108,"walked",7
"786",108,108,"toward",8
"787",108,108,"them",9
"788",109,109,"underneath",1
"789",109,109,"the",2
"790",109,109,"table",3
"791",109,109,"her",4
"792",109,109,"hand",5
"793",109,109,"was",6
"794",109,109,"gripping",7
"795",109,109,"the",8
"796",109,109,"chair",9
"797",110,110,"whether",1
"798",110,110,"peter",2
"799",110,110,"heard",3
"800",110,110,"him",4
"801",110,110,"or",5
"802",110,110,"not",6
"803",110,110,"gabriel",7
"804",110,110,"didn't",8
"805",110,110,"care",9
"806",111,111,"you",1
"807",111,111,"give",2
"808",111,111,"me",3
"809",111,111,"a",4
"810",111,111,"lead",5
"811",111,111,"and",6
"812",111,111,"i'll",7
"813",111,111,"follow",8
"814",111,111,"it",9
"815",112,112,"all",1
"816",112,112,"the",2
"817",112,112,"bowls",3
"818",112,112,"from",4
"819",112,112,"the",5
"820",112,112,"empty",6
"821",112,112,"tables",7
"822",112,112,"are",8
"823",112,112,"cleared",9
"824",112,112,"up",10
"825",113,113,"his",1
"826",113,113,"dark",2
"827",113,113,"hair",3
"828",113,113,"was",4
"829",113,113,"just",5
"830",113,113,"visible",6
"831",113,113,"under",7
"832",113,113,"his",8
"833",113,113,"white",9
"834",113,113,"hat",10
"835",114,114,"his",1
"836",114,114,"men",2
"837",114,114,"will",3
"838",114,114,"not",4
"839",114,114,"follow",5
"840",114,114,"him",6
"841",114,114,"and",7
"842",114,114,"they",8
"843",114,114,"are",9
"844",114,114,"few",10
"845",115,115,"i'll",1
"846",115,115,"break",2
"847",115,115,"your",3
"848",115,115,"neck",4
"849",115,115,"if",5
"850",115,115,"you",6
"851",115,115,"don't",7
"852",115,115,"fix",8
"853",115,115,"that",9
"854",115,115,"water",10
"855",116,116,"ian",1
"856",116,116,"gave",2
"857",116,116,"geoffrey",3
"858",116,116,"a",4
"859",116,116,"hard",5
"860",116,116,"slap",6
"861",116,116,"across",7
"862",116,116,"his",8
"863",116,116,"right",9
"864",116,116,"ear",10
"865",117,117,"jake",1
"866",117,117,"smiled",2
"867",117,117,"again",3
"868",117,117,"at",4
"869",117,117,"his",5
"870",117,117,"baby",6
"871",117,117,"daughter",7
"872",117,117,"she",8
"873",117,117,"was",9
"874",117,117,"perfect",10
"875",118,118,"jimmy",1
"876",118,118,"liked",2
"877",118,118,"the",3
"878",118,118,"fact",4
"879",118,118,"they",5
"880",118,118,"were",6
"881",118,118,"calling",7
"882",118,118,"him",8
"883",118,118,"jim",9
"884",119,119,"brian",1
"885",119,119,"sniffed",2
"886",119,119,"and",3
"887",119,119,"wiped",4
"888",119,119,"his",5
"889",119,119,"grubby",6
"890",119,119,"hand",7
"891",119,119,"across",8
"892",119,119,"his",9
"893",119,119,"nose",10
"894",120,120,"phil",1
"895",120,120,"let",2
"896",120,120,"him",3
"897",120,120,"go",4
"898",120,120,"and",5
"899",120,120,"charlie",6
"900",120,120,"fell",7
"901",120,120,"to",8
"902",120,120,"the",9
"903",120,120,"ground",10
"904",121,121,"let",1
"905",121,121,"me",2
"906",121,121,"through",3
"907",121,121,"and",4
"908",121,121,"you'll",5
"909",121,121,"hear",6
"910",121,121,"nothing",7
"911",121,121,"more",8
"912",121,121,"of",9
"913",121,121,"it",10
"914",122,122,"men",1
"915",122,122,"could",2
"916",122,122,"be",3
"917",122,122,"paid",4
"918",122,122,"to",5
"919",122,122,"do",6
"920",122,122,"all",7
"921",122,122,"sorts",8
"922",122,122,"of",9
"923",122,122,"things",10
"924",123,123,"gilbert",1
"925",123,123,"sat",2
"926",123,123,"as",3
"927",123,123,"still",4
"928",123,123,"as",5
"929",123,123,"he",6
"930",123,123,"could",7
"931",123,123,"nursing",8
"932",123,123,"his",9
"933",123,123,"lip",10
"934",124,124,"jacques",1
"935",124,124,"sighed",2
"936",124,124,"and",3
"937",124,124,"tried",4
"938",124,124,"to",5
"939",124,124,"move",6
"940",124,124,"out",7
"941",124,124,"of",8
"942",124,124,"the",9
"943",124,124,"way",10
"944",125,125,"jamie",1
"945",125,125,"took",2
"946",125,125,"a",3
"947",125,125,"cigarette",4
"948",125,125,"and",5
"949",125,125,"andy",6
"950",125,125,"gave",7
"951",125,125,"him",8
"952",125,125,"a",9
"953",125,125,"light",10
"954",126,126,"joseph",1
"955",126,126,"walked",2
"956",126,126,"into",3
"957",126,126,"the",4
"958",126,126,"office",5
"959",126,126,"and",6
"960",126,126,"removed",7
"961",126,126,"his",8
"962",126,126,"flat",9
"963",126,126,"cap",10
"964",127,127,"she",1
"965",127,127,"would",2
"966",127,127,"soon",3
"967",127,127,"be",4
"968",127,127,"found",5
"969",127,127,"if",6
"970",127,127,"she",7
"971",127,127,"tried",8
"972",127,127,"to",9
"973",127,127,"hide",10
"974",128,128,"the",1
"975",128,128,"brothers",2
"976",128,128,"stood",3
"977",128,128,"up",4
"978",128,128,"and",5
"979",128,128,"came",6
"980",128,128,"down",7
"981",128,128,"from",8
"982",128,128,"the",9
"983",128,128,"platform",10
"984",129,129,"anthony",1
"985",129,129,"was",2
"986",129,129,"approached",3
"987",129,129,"just",4
"988",129,129,"as",5
"989",129,129,"he",6
"990",129,129,"had",7
"991",129,129,"predicted",8
"992",129,129,"in",9
"993",129,129,"the",10
"994",129,129,"park",11
"995",130,130,"despite",1
"996",130,130,"what",2
"997",130,130,"frank",3
"998",130,130,"had",4
"999",130,130,"told",5
"1000",130,130,"her",6
"1001",130,130,"ellen",7
"1002",130,130,"thanked",8
"1003",130,130,"the",9
"1004",130,130,"young",10
"1005",130,130,"soldier",11
"1006",131,131,"he",1
"1007",131,131,"called",2
"1008",131,131,"earlier",3
"1009",131,131,"and",4
"1010",131,131,"i",5
"1011",131,131,"already",6
"1012",131,131,"arranged",7
"1013",131,131,"to",8
"1014",131,131,"go",9
"1015",131,131,"swimming",10
