Text_ID,Sentence_Number,text
5,0,"Das Monokel ist eine Sehhilfe, die im Gegensatz zur heute verwendeten Brille aus nur einem Glas besteht und am Auge eingeklemmt wird"
5,1,"Das Monokel entwickelte sich aus dem Lesestein, einer geschliffenen Linse aus Quarz oder Beryll"
5,2,Daher stammt auch das deutsche Wort Brille
5,3,Dieser Lesestein wurde zum Vergrößern direkt auf das Schriftstück gelegt
5,4,"Das im Deutschen verwendete Wort Monokel wurde aus dem Französischem entlehnt, entstand aber ursprünglich als zweisprachiges Kunstwort aus dem Altgriechischen und Latein"
5,5,Das Monokel war gegen Ende des 19 Jahrhunderts besonders in Deutschland und Großbritannien populär und galt als ein Statussymbol der höheren Gesellschaftsschichten
5,6,Besonders verbreitet war es in den Offizierskorps der Armeen dieser beiden Länder
5,7,"Einige Mediziner waren damals der Meinung, das Verzerren des Gesichts zum Festhalten des Monokels sei gesundheitsschädlich"
5,8,"Dagegen wurde gewöhnlich argumentiert, dass nur Personen Monokel tragen sollten, die es ohne solche Gesichtsverzerrungen tragen könnten"
5,9,Dem wurde von Seiten der Optiker auch durch unterschiedliche Größen entsprochen
6,0,Eine Weinprobe ist die sensorische Prüfung und Bewertung von Wein
6,1,"Während die Weinprobe so alt ist wie die Weinherstellung selbst, wurde ihr seit dem späten Mittelalter ein stärker formalisierter Ablauf gegeben"
6,2,"Moderne, professionelle Weintester verwenden eine sich ständig weiterentwickelnde Fachterminologie, mit der das Spektrum der wahrgenommenen Geschmäcke, Aromen und generellen Merkmale eines Weins beschrieben wird"
6,3,"In den letzten Jahren sind Studien veröffentlicht worden, welche die Zuverlässigkeit der Weinprobe sowohl bei Experten als auch bei Verbrauchern in Frage stellen"
6,4,"Einige Untersuchungen haben zum Beispiel gezeigt, dass Menschen erwarten, dass ein teurerer Wein mehr positive Eigenschaften besitzt als ein billigerer Wein"
6,5,"Wenn Verkostern Wein gegeben wird, von dem fälschlicherweise gesagt wird, dass er teuer ist, berichten sie praktisch immer, dass er besser schmeckt als derselbe Wein, wenn er als billig beschrieben wird"
6,6,"Andere Studien zeigen, dass das Urteil der Verkoster durch ihr Wissen über Eigenschaften eines Weins wie geografische Herkunft, Reputation oder andere Faktoren verzerrt werden kann"
6,7,"Bei einer objektiven Weinverkostung muss der Wein deswegen blind serviert werden; das bedeutet ohne, dass der Tester das Etikett oder die Flaschenform gesehen hat"
6,8,"Bei einer Blindverkostung kann der Wein auch aus einem schwarzen Weinglas serviert werden, um die Farbe des Weins zu maskieren"
7,0,"Orangensaft ist ein Fruchtsaft, der durch Auspressen von Orangen hergestellt wird"
7,1,Umgangssprachlich wird er oft als O- Saft bezeichnet
7,2,Orangensaft ist der meistgetrunkene Saft der Welt und steht für die Hälfte des Gesamtkonsums an Fruchtsäften
7,3,Unterschieden wird zwischen Direktsaft und Fruchtsaft aus Fruchtsaftkonzentrat
7,4,Orangen- Direktsaft wird im Ernteland (hauptsächlich Brasilien) nach dem Pressen durch Pasteurisation haltbar gemacht
7,5,"Befindet sich das Zielland in Übersee, beispielsweise Europa, so wird er per Orangensafttanker transportiert und im Zielland von den Fruchtsaftherstellern abgefüllt"
7,6,Der Hauptteil des gewonnenen Orangensaftes wird noch im Produktionsland zu Orangensaftkonzentrat verarbeitet
7,7,Dazu werden dem Orangensaft unter Vakuum bei niedrigen Temperaturen zuerst die Aromen und anschließend das Wasser entzogen
7,8,"Laut Fruchtsaft- und Erfrischungsgetränkeverordnung darf als Saft nur ein solches Getränk bezeichnet werden, das vollständig aus dem Fruchtsaft und dem Fruchtfleisch der entsprechenden Früchte stammt"
8,0,"Der Imker beschäftigt sich mit der Haltung, Vermehrung und Züchtung von Honigbienen sowie mit der Produktion von Honig und weiterer Bienenprodukte"
8,1,Wirtschaftlich relevanter ist heute die Bestäubungsleistung der Honigbienen in der Landwirtschaft als Nebenprodukt der Imkerei
8,2,"Ein Imker braucht keine spezielle Ausbildung, aber in den deutschsprachigen Ländern absolvieren die meisten Neu- Imker einen Grundkurs"
8,3,"Vom Imker zu unterscheiden ist der Zeidler, der den Honig wildlebender Honigbienen- Völker im Wald sammelt"
8,4,"Der Imker hält seine Bienenvölker in künstlichen Nisthöhlen, den Bienenstöcken, in denen Brutnest und Honigvorräte vor Witterungseinflüssen und den Räubereien anderer Tiere geschützt sind"
8,5,Der Imker produziert mit dem Honig ein Lebensmittel und ist damit in den deutschsprachigen Ländern der strengen Lebensmittelgesetzgebung unterstellt
8,6,Honigbienen sind die wichtigsten Bestäuber von Blütenpflanzen
8,7,Wegen ihrer Bestäubungsleistung ist die Honigbiene nach Rind und Schwein weltweit das drittwichtigste Nutztier in der Landwirtschaft
8,8,"Neben der ökologischen Bedeutung der Honigbienen als Bestäuber von Wild- und Kulturpflanzen hat die Imkerei einen großen ökonomischen Nutzen für die Landwirtschaft, wo sie den Ertrag und die Qualität von Obst und Gemüse erhöht"
9,0,"Eine Nationalflagge symbolisiert als Flagge einen Staat, seine Selbständigkeit, Unabhängigkeit und Einheit"
9,1,"Davon abgeleitet können sie auch für andere Eigenschaften des Landes stehen, wie etwa für dessen Landessprache, selbst wenn diese auch in anderen Ländern verwendet wird"
9,2,"Oft wird die Nationalflagge eingesetzt, um damit Besitzansprüche über ein Territorium zu demonstrieren"
9,3,"Die Nationalflagge ging aus den Flaggen der Schiffe hervor, mit der einst deren Nationalität angezeigt wurde"
9,4,"Nationalflaggen können zu zivilen, staatlichen und militärischen Zwecken verwendet werden"
9,5,Viele Staaten verwenden daher für diese verschiedenen Bereiche unterschiedliche Flaggen oder Abwandlungen der Grundform der Nationalflagge
9,6,Teilweise wird zusätzlich auch zwischen der Verwendung an Land und auf See unterschieden
9,7,"Die Symbolik der Nationalflagge ist auch oft Grund für Streit, wenn zum Beispiel im Zuge des Wechsels einer Regierungsform die Nationalflagge geändert wird"
9,8,"So etwa geschehen in Portugal, wo der Wechsel der Flagge nach Abschaffung der Monarchie in der Presse zu einem Flaggenkrieg stilisiert wurde"
9,9,"Besonders zu nationalen Gedenktagen wird die Nationalflagge an öffentlichen Gebäuden und, wenn erlaubt, auch an privaten Häusern gehisst"
9,10,In Peru und Lettland sind dazu alle Bürger am Nationalfeiertag sogar gesetzlich verpflichtet
10,0,"Die Internationale Union für Naturschutz ist eine internationale Organisation, die auf dem Gebiet des Naturschutzes und der nachhaltigen Nutzung natürlicher Ressourcen tätig ist"
10,1,"Sie ist an der Datenerfassung und ihrer Analyse, Forschung, Feldprojekten, Einflussnahme und Wissensvermittlung beteiligt"
10,2,"Ihre Mission ist es, ""Gesellschaften weltweit zu ermutigen und dabei zu unterstützen, die Natur zu erhalten, und sicherzustellen, dass die Nutzung natürlicher Ressourcen gerecht und ökologisch nachhaltig ist“"
10,3,In den letzten Jahrzehnten hat die Organisation ihren Fokus über die Umweltschutzökologie hinaus erweitert und bezieht nun Fragen der nachhaltigen Entwicklung in ihre Projekte ein
10,4,"Im Gegensatz zu vielen anderen internationalen Umweltorganisationen ist es nicht ihr Ziel, die Öffentlichkeit für den Naturschutz zu mobilisieren"
10,5,"Stattdessen versucht die Organisation, das Verhalten von Regierungen, Unternehmen und anderen Interessengruppen zu beeinflussen, indem sie Informationen und Ratschläge bereitstellt und Kooperationen aufbaut"
10,6,"Die Organisation ist der breiten Öffentlichkeit am besten durch die Erstellung und Veröffentlichung der ""Roten Liste der bedrohten Arten"" bekannt, in der der Erhaltungszustand von Arten weltweit bewertet wird"
10,7,Heute beschäftigt die Organisation rund tausend Vollzeitmitarbeiter in über fünfzig Ländern
11,0,"Ein Fahrzeugkennzeichen ist ein Metall- oder Kunststoffschild, das zur amtlichen Identifizierung an einem Fahrzeug angebracht ist"
11,1,"In allen Ländern sind solche Kennzeichen für Straßenfahrzeuge wie Autos, Lastwagen und Motorräder erforderlich"
11,2,"Ob sie für andere Fahrzeuge wie Fahrräder, Boote oder Traktoren erforderlich sind, kann je nach Rechtsprechung variieren"
11,3,"Die Registrierungskennung besteht aus einer Reihe von Buchstaben und Ziffern, die den Fahrzeughalter eindeutig im Fahrzeugregister der ausstellenden Behörde identifiziert"
11,4,"In einigen Ländern ist die Kennung innerhalb des gesamten Landes einzigartig, während sie dies in anderen Ländern nur innerhalb eines Staates oder einer Provinz ist"
11,5,"Frankreich war das erste Land, das Ende des neunzehnten Jahrhunderts das Kennzeichen einführte"
11,6,"Die Kennzeichen des frühen zwanzigsten Jahrhunderts variierten in Größe und Form je nach regionaler Rechtsprechung, so dass bei einem Umzug zusätzliche Löcher in das Auto gebohrt werden mussten, um das neue Kennzeichen anbringen zu können"
11,7,"Die Standardisierung der Platten erfolgte erst Ende der fünfziger Jahre, als sich die Automobilhersteller mit Regierungen und internationalen Organisationen einigten"
