"","text_id","sent_id","trigger_idx","word","freq","surp","max_surp","mean_surp","max_ppmi","mean_ppmi","max_npmi","mean_npmi","max_e_pmi","mean_e_pmi","max_e_ppmi","mean_e_ppmi","max_e_npmi","mean_e_npmi","len"
"1",1,1,2,"lost",5.39,12.9036414524942,0,0,0,0,-1.4583854675293,-4.75519275665283,10.7692564732537,4.5625455467401,10.8110932823552,4.69545649164848,0.214287484761221,0.132910944908375,4
"2",1,1,3,"control",5.4,6.67313112715274,12.9036414524942,6.4518207262471,12.2322829067707,5.01272619267305,0,-0.181909561157227,11.8384393070528,4.55226996020577,11.8623265830045,4.71201922462003,0.215518841694236,0.159749264414263,7
"3",1,1,4,"and",7.41,3.76792870058862,12.9036414524942,6.52559085988231,6.53952598571777,1.07216816478305,0,-0.128584722677867,6.89592509038138,1.32047670614183,6.97732806237516,1.47806861817118,0.298923111807436,0.157591912029347,3
"4",1,1,5,"laughed",4.24,16.2574091246587,12.9036414524942,5.83617532005889,10.3137563765049,4.25171618163586,0,0,10.0670697367115,5.00408504779459,10.083005958513,5.09454376565586,0.178786194474081,0.0904587178612755,7
"5",2,2,2,"wrote",5.04,10.1177274080179,14.2075980145061,14.2075980145061,4.09003448486328,1.36334482828776,0,-0.0977452596028646,6.36336375347969,2.97146559866202,6.53870291153679,3.16183149556461,0.215729166323665,0.190365896902588,5
"6",2,2,3,"on",6.91,5.05816298011336,14.2075980145061,12.162662711262,6.53810405731201,1.49973185857137,0,-0.634429772694906,4.62781244768209,1.79966347081941,4.75097787336911,1.99597848311176,0.299414235483442,0.196315012292353,2
"7",2,2,4,"the",7.73,3.98431340608323,14.2075980145061,9.79449613421244,4.55295944213867,1.7612775961558,0,-0.317289246453179,4.4217782004358,1.50848999839374,4.57336744161172,1.66455858440615,0.243813877801034,0.156068586012409,3
"8",2,2,5,"envelope",3.86,16.6970922771425,14.2075980145061,8.34195045218014,8.36822247505188,3.8494530916214,0,0,11.0523751217432,4.49044125153037,11.078776564464,4.62825072102741,0.312146971890566,0.137809469497041,8
"9",3,3,2,"called",5.59,10.9912723634816,0,0,9.68262028694153,4.81476841370265,0,0,7.49867355162279,3.55675238708793,7.58763905922032,3.67936681706363,0.152800128639284,0.122614429975695,6
"10",3,3,3,"over",6.08,9.98633792616457,10.9912723634816,5.49563618174079,4.75909900665283,1.5519885023435,0,-0.0155808925628662,6.10916471457859,2.36406804941723,6.22932959329582,2.55102663922531,0.260309107664341,0.18695858980807,4
